run,save,mode,metric,value,deltaVsMainVrBalancedMedian,deltaVsOriginal
Current R3,11,DLSS,gpuTailP99Ms,13.308,2.475999999999999,3.4019999999999992
Current R1,11,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,3.6,-1.6,-2.3000000000000003
Current R2,11,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,5.4,0.20000000000000018,-0.5
Current interrupted,11,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,13.6,8.399999999999999,7.699999999999999
Current R3,11,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,9.3,4.1000000000000005,3.4000000000000004
Current R1,11,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,3.4,2.0999999999999996,2.2
Current R2,11,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,3.9,2.5999999999999996,2.7
Current interrupted,11,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,3.2,1.9000000000000001,2.0
Current R3,11,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,3.9,2.5999999999999996,2.7
Current R1,11,DLSS,cpuSpikeGroups.frequencyPerSecond,11.3,-0.8999999999999986,-2.5
Current R2,11,DLSS,cpuSpikeGroups.frequencyPerSecond,12.6,0.40000000000000036,-1.200000000000001
Current interrupted,11,DLSS,cpuSpikeGroups.frequencyPerSecond,16.9,4.699999999999999,3.099999999999998
Current R3,11,DLSS,cpuSpikeGroups.frequencyPerSecond,17.5,5.300000000000001,3.6999999999999993
Current R1,11,DLSS,gpuSpikeGroups.frequencyPerSecond,3.4,2.0999999999999996,2.2
Current R2,11,DLSS,gpuSpikeGroups.frequencyPerSecond,3.9,2.5999999999999996,2.7
Current interrupted,11,DLSS,gpuSpikeGroups.frequencyPerSecond,3.2,1.9000000000000001,2.0
Current R3,11,DLSS,gpuSpikeGroups.frequencyPerSecond,3.9,2.5999999999999996,2.7
Current R1,11,DLSS,cpuSpikeGroups.dutyPercent,28.12,3.5,2.830000000000002
Current R2,11,DLSS,cpuSpikeGroups.dutyPercent,26.92,2.3000000000000007,1.6300000000000026
Current interrupted,11,DLSS,cpuSpikeGroups.dutyPercent,30.12,5.5,4.830000000000002
Current R3,11,DLSS,cpuSpikeGroups.dutyPercent,27.68,3.0599999999999987,2.3900000000000006
Current R1,11,DLSS,gpuSpikeGroups.dutyPercent,3.15,1.93,2.0
Current R2,11,DLSS,gpuSpikeGroups.dutyPercent,3.74,2.5200000000000005,2.5900000000000003
Current interrupted,11,DLSS,gpuSpikeGroups.dutyPercent,4.17,2.95,3.02
Current R3,11,DLSS,gpuSpikeGroups.dutyPercent,3.91,2.6900000000000004,2.7600000000000002
Current R1,11,DLSS,cpuSpikeGroups.maxGroupSamples,8.0,-1.0,0.0
Current R2,11,DLSS,cpuSpikeGroups.maxGroupSamples,11.0,2.0,3.0
Current interrupted,11,DLSS,cpuSpikeGroups.maxGroupSamples,9.0,0.0,1.0
Current R3,11,DLSS,cpuSpikeGroups.maxGroupSamples,5.0,-4.0,-3.0
Current R1,11,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R2,11,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current interrupted,11,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R3,11,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R1,12,DLSS,cpuTailMeanMs,8.352,-0.4740000000000002,1.4980000000000002
Current R2,12,DLSS,cpuTailMeanMs,8.587,-0.23900000000000077,1.7329999999999997
Current interrupted,12,DLSS,cpuTailMeanMs,9.076,0.25,2.2220000000000004
Current R3,12,DLSS,cpuTailMeanMs,9.066,0.2400000000000002,2.2120000000000006
Current R1,12,DLSS,gpuTailMeanMs,8.652,-0.21600000000000108,1.0759999999999996
Current R2,12,DLSS,gpuTailMeanMs,8.724,-0.14400000000000013,1.1480000000000006
Current interrupted,12,DLSS,gpuTailMeanMs,8.819,-0.04899999999999949,1.2430000000000012
Current R3,12,DLSS,gpuTailMeanMs,8.927,0.058999999999999275,1.351
Current R1,12,DLSS,cpuTailP95Ms,12.24,-0.6600000000000001,1.6400000000000006
Current R2,12,DLSS,cpuTailP95Ms,12.74,-0.16000000000000014,2.1400000000000006
Current interrupted,12,DLSS,cpuTailP95Ms,13.4,0.5,2.8000000000000007
Current R3,12,DLSS,cpuTailP95Ms,13.2,0.29999999999999893,2.5999999999999996
Current R1,12,DLSS,cpuTailP99Ms,15.276,0.2759999999999998,1.9610000000000003
Current R2,12,DLSS,cpuTailP99Ms,14.908,-0.09200000000000053,1.593
Current interrupted,12,DLSS,cpuTailP99Ms,15.825,0.8249999999999993,2.51
Current R3,12,DLSS,cpuTailP99Ms,15.42,0.41999999999999993,2.1050000000000004
Current R1,12,DLSS,gpuTailP95Ms,9.0,-0.09999999999999964,1.0
Current R2,12,DLSS,gpuTailP95Ms,9.1,0.0,1.0999999999999996
Current interrupted,12,DLSS,gpuTailP95Ms,10.1,1.0,2.0999999999999996
Current R3,12,DLSS,gpuTailP95Ms,9.4,0.3000000000000007,1.4000000000000004
Current R1,12,DLSS,gpuTailP99Ms,9.9,-1.0,1.700000000000001
Current R2,12,DLSS,gpuTailP99Ms,11.2,0.29999999999999893,3.0
Current interrupted,12,DLSS,gpuTailP99Ms,12.425,1.5250000000000004,4.225000000000001
Current R3,12,DLSS,gpuTailP99Ms,10.72,-0.17999999999999972,2.5200000000000014
Current R1,12,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,7.4,-1.5,2.7
Current R2,12,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,8.3,-0.5999999999999996,3.6000000000000005
Current interrupted,12,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,15.5,6.6,10.8
Current R3,12,DLSS,cpuSingleSpikeFrequency.frequencyPerSecond,12.3,3.4000000000000004,7.6000000000000005
Current R1,12,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,0.9,-0.09999999999999998,0.8
Current R2,12,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,1.4,0.3999999999999999,1.2999999999999998
Current interrupted,12,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,4.0,3.0,3.9
Current R3,12,DLSS,gpuSingleSpikeFrequency.frequencyPerSecond,1.0,0.0,0.9
Current R1,12,DLSS,cpuSpikeGroups.frequencyPerSecond,15.0,-1.1999999999999993,0.5999999999999996
Current R2,12,DLSS,cpuSpikeGroups.frequencyPerSecond,15.4,-0.7999999999999989,1.0
Current interrupted,12,DLSS,cpuSpikeGroups.frequencyPerSecond,20.3,4.100000000000001,5.9
Current R3,12,DLSS,cpuSpikeGroups.frequencyPerSecond,18.6,2.400000000000002,4.200000000000001
Current R1,12,DLSS,gpuSpikeGroups.frequencyPerSecond,0.9,-0.09999999999999998,0.8
Current R2,12,DLSS,gpuSpikeGroups.frequencyPerSecond,1.4,0.3999999999999999,1.2999999999999998
Current interrupted,12,DLSS,gpuSpikeGroups.frequencyPerSecond,4.0,3.0,3.9
Current R3,12,DLSS,gpuSpikeGroups.frequencyPerSecond,1.0,0.0,0.9
Current R1,12,DLSS,cpuSpikeGroups.dutyPercent,26.16,0.14000000000000057,-1.1600000000000001
Current R2,12,DLSS,cpuSpikeGroups.dutyPercent,25.68,-0.33999999999999986,-1.6400000000000006
Current interrupted,12,DLSS,cpuSpikeGroups.dutyPercent,25.92,-0.09999999999999787,-1.3999999999999986
Current R3,12,DLSS,cpuSpikeGroups.dutyPercent,25.48,-0.5399999999999991,-1.8399999999999999
Current R1,12,DLSS,gpuSpikeGroups.dutyPercent,0.89,-0.21000000000000008,0.8
Current R2,12,DLSS,gpuSpikeGroups.dutyPercent,1.41,0.30999999999999983,1.3199999999999998
Current interrupted,12,DLSS,gpuSpikeGroups.dutyPercent,4.1,2.9999999999999996,4.01
Current R3,12,DLSS,gpuSpikeGroups.dutyPercent,1.02,-0.08000000000000007,0.93
Current R1,12,DLSS,cpuSpikeGroups.maxGroupSamples,5.0,0.0,-1.0
Current R2,12,DLSS,cpuSpikeGroups.maxGroupSamples,4.0,-1.0,-2.0
Current interrupted,12,DLSS,cpuSpikeGroups.maxGroupSamples,3.0,-2.0,-3.0
Current R3,12,DLSS,cpuSpikeGroups.maxGroupSamples,3.0,-2.0,-3.0
Current R1,12,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R2,12,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current interrupted,12,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R3,12,DLSS,gpuSpikeGroups.maxGroupSamples,1.0,0.0,0.0
Current R1,13,DLSS,cpuTailMeanMs,18.355,-1.338000000000001,9.68
Current R2,13,DLSS,cpuTailMeanMs,17.645,-2.048000000000002,8.969999999999999
Current interrupted,13,DLSS,cpuTailMeanMs,,,
Current R3,13,DLSS,cpuTailMeanMs,19.661,-0.03200000000000003,10.986
Current R1,13,DLSS,gpuTailMeanMs,13.108,-0.019999999999999574,2.849
Current R2,13,DLSS,gpuTailMeanMs,12.535,-0.593,2.276
Current interrupted,13,DLSS,gpuTailMeanMs,,,
Current R3,13,DLSS,gpuTailMeanMs,13.133,0.004999999999999005,2.8739999999999988
Current R1,13,DLSS,cpuTailP95Ms,26.55,-0.5500000000000007,14.350000000000001
Current R2,13,DLSS,cpuTailP95Ms,24.8,-2.3000000000000007,12.600000000000001
Current interrupted,13,DLSS,cpuTailP95Ms,,,
Current R3,13,DLSS,cpuTailP95Ms,27.015,-0.08500000000000085,14.815000000000001
Current R1,13,DLSS,cpuTailP99Ms,30.25,0.6499999999999986,15.346
Current R2,13,DLSS,cpuTailP99Ms,27.04,-2.5600000000000023,12.136
Current interrupted,13,DLSS,cpuTailP99Ms,,,
Current R3,13,DLSS,cpuTailP99Ms,29.629,0.028999999999999915,14.725000000000001
Current R1,13,DLSS,gpuTailP95Ms,16.35,0.05000000000000071,5.550000000000001
Current R2,13,DLSS,gpuTailP95Ms,15.3,-1.0,4.5
Current interrupted,13,DLSS,gpuTailP95Ms,,,
Current R3,13,DLSS,gpuTailP95Ms,16.3,0.0,5.5
